1/5/12	-3
1/10/12	-6
1/21/12	-7
2/1/12	-6
2/1/12	-9
2/7/12	-5
2/10/12	-7
2/16/12	-1
2/20/12	-9
2/24/12	-6
3/14/12	-3
3/16/12	-4
3/20/12	-3
3/29/12	-2
4/3/12	-3
4/4/12	-3
4/9/12	-15
5/14/12	-3
6/6/12	-8
6/19/12	-1
6/19/12	-10
6/20/12	-5
6/20/12	-3
6/26/12	-3
6/27/12	-3
7/7/12	-3
7/17/12	-2
7/19/12	-3
7/26/12	-3
8/7/12	-3
8/9/12	-3
8/16/12	-2
8/21/12	-3
8/28/12	-2
9/18/12	-3
10/2/12	-2
10/4/12	-8
10/9/12	-15
10/30/12	-3
10/30/12	-3
11/14/12	-6
11/20/12	-3
11/27/12	-3
12/13/12	-2
1/17/13	-8
1/30/13	-3
1/31/13	-3
2/1/13	-6
2/6/13	-4
2/20/13	-3
2/22/13	-1
2/25/13	-6
2/27/13	-5
3/5/13	-1
3/6/13	-3
3/13/13	-3
3/20/13	-9
4/5/13	-2
4/10/13	-8
4/16/13	-1
4/18/13	-3
4/24/13	-8
5/3/13	-8
5/8/13	-1
5/15/13	-10
5/22/13	-3
5/28/13	-3
5/29/13	-5
6/5/13	-2
6/11/13	-3
6/11/13	-2
6/12/13	-12
6/25/13	-3
7/8/13	-5
7/23/13	-8
7/30/13	-2
8/7/13	-3
8/13/13	-2
8/21/13	-3
8/22/13	-2
8/29/13	-3
8/29/13	-4
9/4/13	-11
9/25/13	-7
10/2/13	-2
10/4/13	-6
10/14/13	-2
10/16/13	-12
11/5/13	-11
11/20/13	-4
11/22/13	-2
11/27/13	-4
12/3/13	-3
12/4/13	-3
12/11/13	-3
12/18/13	-4
12/23/13	-1
12/24/13	-3
1/11/13	-3
3/13/13	-4
3/25/13	-3
6/29/13	-6
7/8/13	-6
8/14/13	-9
9/13/13	-6
9/18/13	-4
9/19/13	-3
10/23/13	-3
10/24/13	-6
12/13/13	-6
